"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA"
"85";0,1653;0,0106;0;0;0;0,1635;0;0;0;0,5759;0;0,2606
"86";0,1684;0,0109;0;0;0;0,1393;0;0;0;0,5971;0;0,2636
"87";0,1715;0,0112;0;0;0;0,1151;0;0;0;0,6183;0;0,2666
"88";0,1746;0,0116;0;0;0;0,0909;0;0;0;0,6395;0;0,2696
"89";0,1779;0,0119;0;0;0;0,0667;0;0;0;0,6608;0;0,2726
"90";0,1812;0,0122;0;0;0;0,0425;0;0;0;0,682;0;0,2756
"91";0,1845;0,0125;0;0;0;0,0182;0;0;0;0,7032;0;0,2786
"92";0,1877;0,0128;0;0;0;0;0;0;0;0,7287;0;0,2713
"93";0,1925;0,0132;0;0;0;0;0;0;0;0,7675;0;0,2325
"94";0,1978;0,0135;0;0;0;0;0;0;0;0,8062;0;0,1938
"95";0,2041;0,0138;0;0;0;0;0;0;0;0,845;0;0,155
"96";0,2114;0,0141;0;0;0;0;0;0;0;0,8837;0;0,1163
"97";0,2218;0,0144;0;0;0;0;0;0;0;0,9225;0;0,0775
"98";0,2324;0,0148;0;0;0;0;0;0;0;0,9612;0;0,0388
"99";0,244;0,0151;0;0;0;0;0;0;0;1;0;0
