"VaR";"mean";"BBDC3.SA";"CPLE6.SA";"ENGI11.SA";"HYPE3.SA";"TIMS3.SA";"VIVT3.SA";"RADL3.SA";"MRFG3.SA";"MULT3.SA";"ELET3.SA";"DXCO3.SA";"GGBR4.SA";"PRIO3.SA";"CCRO3.SA";"CYRE3.SA"
"82";0,2651;0,041;0;0;0;0;0;0;0;0,2187;0;0;0;0,0958;0,6855;0;0
"83";0,2695;0,0418;0;0;0;0;0;0;0;0,2134;0;0;0;0,0827;0,7039;0;0
"84";0,274;0,0425;0;0;0;0;0;0;0;0,2081;0;0;0;0,0696;0,7223;0;0
"85";0,2784;0,0432;0;0;0;0;0;0;0;0,2028;0;0;0;0,0565;0,7408;0;0
"86";0,2828;0,0439;0;0;0;0;0;0;0;0,1975;0;0;0;0,0434;0,7592;0;0
"87";0,2872;0,0446;0;0;0;0;0;0;0;0,1922;0;0;0;0,0303;0,7776;0;0
"88";0,2917;0,0453;0;0;0;0;0;0;0;0,1869;0;0;0;0,0171;0,796;0;0
"89";0,2961;0,046;0;0;0;0;0;0;0;0,1816;0;0;0;0,004;0,8144;0;0
"90";0,3009;0,0467;0;0;0;0;0;0;0;0,1671;0;0;0;0;0,8329;0;0
"91";0,3059;0,0474;0;0;0;0;0;0;0;0,1485;0;0;0;0;0,8515;0;0
"92";0,3109;0,0481;0;0;0;0;0;0;0;0,13;0;0;0;0;0,87;0;0
"93";0,3159;0,0488;0;0;0;0;0;0;0;0,1114;0;0;0;0;0,8886;0;0
"94";0,3209;0,0495;0;0;0;0;0;0;0;0,0928;0;0;0;0;0,9072;0;0
"95";0,3259;0,0502;0;0;0;0;0;0;0;0,0743;0;0;0;0;0,9257;0;0
"96";0,3309;0,0509;0;0;0;0;0;0;0;0,0557;0;0;0;0;0,9443;0;0
"97";0,3359;0,0516;0;0;0;0;0;0;0;0,0371;0;0;0;0;0,9629;0;0
"98";0,3409;0,0523;0;0;0;0;0;0;0;0,0186;0;0;0;0;0,9814;0;0
"99";0,3459;0,053;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
